Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Baker by Ted Baker Pink Mesh 3D Bow Skirted Mockable Dress,baker-by-ted-baker-pink-mesh-3d-bow-skirted-mockable-dress-su767503,Baker by Ted Baker Pink Mesh 3D Bow Skirted Mockable Dress,Baker by Ted Baker,Dress,,,TRUE,Active,H57-785-28,,Size,12-18 Months (80-86cm),,,,,,,,191.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H57785s.jpg,1,Baker by Ted Baker Pink Mesh 3D Bow Skirted Mockable Dress image 1,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-pink-mesh-3d-bow-skirted-mockable-dress-su767503,,,,,,,,H57-785-30,,Size,1.5-2 Years (86-92cm),,,,,,,,191.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H57785s1.jpg,2,Baker by Ted Baker Pink Mesh 3D Bow Skirted Mockable Dress image 2,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-pink-mesh-3d-bow-skirted-mockable-dress-su767503,,,,,,,,H57-785-38,,Size,2-3 Years (92-98cm),,,,,,,,191.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H57785s10.jpg,3,Baker by Ted Baker Pink Mesh 3D Bow Skirted Mockable Dress image 3,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-pink-mesh-3d-bow-skirted-mockable-dress-su767503,,,,,,,,H57-785-40,,Size,3-4 Years (98-104cm),,,,,,,,209.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H57785s11.jpg,4,Baker by Ted Baker Pink Mesh 3D Bow Skirted Mockable Dress image 4,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-pink-mesh-3d-bow-skirted-mockable-dress-su767503,,,,,,,,H57-785-41,,Size,4-5 Years (104-110cm),,,,,,,,209.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H57785s2.jpg,5,Baker by Ted Baker Pink Mesh 3D Bow Skirted Mockable Dress image 5,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-pink-mesh-3d-bow-skirted-mockable-dress-su767503,,,,,,,,H57-785-42,,Size,5-6 Years (110-116cm),,,,,,,,209.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H57785s3.jpg,6,Baker by Ted Baker Pink Mesh 3D Bow Skirted Mockable Dress image 6,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-pink-mesh-3d-bow-skirted-mockable-dress-su767503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H57785s4.jpg,7,Baker by Ted Baker Pink Mesh 3D Bow Skirted Mockable Dress image 7,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-pink-mesh-3d-bow-skirted-mockable-dress-su767503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H57785s5.jpg,8,Baker by Ted Baker Pink Mesh 3D Bow Skirted Mockable Dress image 8,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-pink-mesh-3d-bow-skirted-mockable-dress-su767503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H57785s6.jpg,9,Baker by Ted Baker Pink Mesh 3D Bow Skirted Mockable Dress image 9,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-pink-mesh-3d-bow-skirted-mockable-dress-su767503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H57785s7.jpg,10,Baker by Ted Baker Pink Mesh 3D Bow Skirted Mockable Dress image 10,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-pink-mesh-3d-bow-skirted-mockable-dress-su767503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H57785s8.jpg,11,Baker by Ted Baker Pink Mesh 3D Bow Skirted Mockable Dress image 11,,,,,,,,,,,,,,,,,,
