Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Blue Striped Cath Kidston 100% Cotton Baby Dungaree,blue-striped-cath-kidston-100-cotton-baby-dungaree,Blue Striped Cath Kidston 100% Cotton Baby Dungaree,Next,"sets, Dungarees",,,TRUE,Active,AA4-390-19,,Size,Up to 1 Month (56cm),,,,,,,,112.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AA4390s.jpg,1,Blue Striped Cath Kidston 100% Cotton Baby Dungaree image 1,,,,,,,,,,,,,,,,,,
,blue-striped-cath-kidston-100-cotton-baby-dungaree,,,,,,,,AA4-390-20,,Size,Up to 3 Months (62cm),,,,,,,,112.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AA4390s2.jpg,2,Blue Striped Cath Kidston 100% Cotton Baby Dungaree image 2,,,,,,,,,,,,,,,,,,
,blue-striped-cath-kidston-100-cotton-baby-dungaree,,,,,,,,AA4-390-22,,Size,3-6 Months (62-68cm),,,,,,,,112.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AA4390s3.jpg,3,Blue Striped Cath Kidston 100% Cotton Baby Dungaree image 3,,,,,,,,,,,,,,,,,,
,blue-striped-cath-kidston-100-cotton-baby-dungaree,,,,,,,,AA4-390-24,,Size,6-9 Months (68-74cm),,,,,,,,112.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AA4390s4.jpg,4,Blue Striped Cath Kidston 100% Cotton Baby Dungaree image 4,,,,,,,,,,,,,,,,,,
,blue-striped-cath-kidston-100-cotton-baby-dungaree,,,,,,,,AA4-390-27,,Size,9-12 Months (74-80cm),,,,,,,,112.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AA4390s5.jpg,5,Blue Striped Cath Kidston 100% Cotton Baby Dungaree image 5,,,,,,,,,,,,,,,,,,
,blue-striped-cath-kidston-100-cotton-baby-dungaree,,,,,,,,AA4-390-28,,Size,12-18 Months (80-86cm),,,,,,,,122.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AA4390s6.jpg,6,Blue Striped Cath Kidston 100% Cotton Baby Dungaree image 6,,,,,,,,,,,,,,,,,,
,blue-striped-cath-kidston-100-cotton-baby-dungaree,,,,,,,,AA4-390-30,,Size,1.5-2 Years (86-92cm),,,,,,,,122.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AA4390s7.jpg,7,Blue Striped Cath Kidston 100% Cotton Baby Dungaree image 7,,,,,,,,,,,,,,,,,,
,blue-striped-cath-kidston-100-cotton-baby-dungaree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AA4390s8.jpg,8,Blue Striped Cath Kidston 100% Cotton Baby Dungaree image 8,,,,,,,,,,,,,,,,,,
,blue-striped-cath-kidston-100-cotton-baby-dungaree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AA4390s9.jpg,9,Blue Striped Cath Kidston 100% Cotton Baby Dungaree image 9,,,,,,,,,,,,,,,,,,
,blue-striped-cath-kidston-100-cotton-baby-dungaree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AA4390s10.jpg,10,Blue Striped Cath Kidston 100% Cotton Baby Dungaree image 10,,,,,,,,,,,,,,,,,,
,blue-striped-cath-kidston-100-cotton-baby-dungaree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AA4390s11.jpg,11,Blue Striped Cath Kidston 100% Cotton Baby Dungaree image 11,,,,,,,,,,,,,,,,,,
,blue-striped-cath-kidston-100-cotton-baby-dungaree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AA4390s12.jpg,12,Blue Striped Cath Kidston 100% Cotton Baby Dungaree image 12,,,,,,,,,,,,,,,,,,
,blue-striped-cath-kidston-100-cotton-baby-dungaree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AA4390s13.jpg,13,Blue Striped Cath Kidston 100% Cotton Baby Dungaree image 13,,,,,,,,,,,,,,,,,,
JoJo Maman Bébé Green Stripe Printed Twill Dungaree,jojo-maman-bb-green-stripe-printed-twill-dungaree,JoJo Maman Bébé Green Stripe Printed Twill Dungaree,Jojo Maman Bébé,"sets, Dungarees",,,TRUE,Active,Y23-392-59,,Size,Up To 3 Months (50 - 62cm),,,,,,,,146.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/Y23392s.jpg,1,JoJo Maman Bébé Green Stripe Printed Twill Dungaree image 1,,,,,,,,,,,,,,,,,,
,jojo-maman-bb-green-stripe-printed-twill-dungaree,,,,,,,,Y23-392-61,,Size,3-6 Months (62-68cm),,,,,,,,146.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/Y23392s2.jpg,2,JoJo Maman Bébé Green Stripe Printed Twill Dungaree image 2,,,,,,,,,,,,,,,,,,
,jojo-maman-bb-green-stripe-printed-twill-dungaree,,,,,,,,Y23-392-25,,Size,6-12 Months (68-80cm),,,,,,,,146.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/Y23392s3.jpg,3,JoJo Maman Bébé Green Stripe Printed Twill Dungaree image 3,,,,,,,,,,,,,,,,,,
,jojo-maman-bb-green-stripe-printed-twill-dungaree,,,,,,,,Y23-392-28,,Size,12-18 Months (80-86cm),,,,,,,,151.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/Y23392s4.jpg,4,JoJo Maman Bébé Green Stripe Printed Twill Dungaree image 4,,,,,,,,,,,,,,,,,,
