Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Neutral 100% Cotton Tie Top Baby Hats 3 Pack (0-12mths),st028141-582086,Neutral 100% Cotton Tie Top Baby Hats 3 Pack (0-12mths),Next,Hats,,,TRUE,Active,582-086-17,,Size,44cm (5lb),,,,,,,,20.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/582086s.jpg,1,Neutral 100% Cotton Tie Top Baby Hats 3 Pack (0-12mths) image 1,,,,,,,,,,,,,,,,,,
,st028141-582086,,,,,,,,582-086-18,,Size,First Size (50cm),,,,,,,,20.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,st028141-582086,,,,,,,,582-086-19,,Size,Up To 3 Months (50 - 62cm),,,,,,,,20.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,st028141-582086,,,,,,,,582-086-22,,Size,3-6 Months (62-68cm),,,,,,,,20.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,st028141-582086,,,,,,,,582-086-25,,Size,6-12 Months (68-80cm),,,,,,,,20.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
White 100% Cotton Tie Top Baby Hats 3 Pack (0-12mths),st028141-c57120,White 100% Cotton Tie Top Baby Hats 3 Pack (0-12mths),Next,Hats,,,TRUE,Active,C57-120-17,,Size,44cm (5lb),,,,,,,,18.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/C57120s.jpg,1,White 100% Cotton Tie Top Baby Hats 3 Pack (0-12mths) image 1,,,,,,,,,,,,,,,,,,
,st028141-c57120,,,,,,,,C57-120-18,,Size,First Size (50cm),,,,,,,,18.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/C57120s2.jpg,2,White 100% Cotton Tie Top Baby Hats 3 Pack (0-12mths) image 2,,,,,,,,,,,,,,,,,,
,st028141-c57120,,,,,,,,C57-120-19,,Size,Up To 3 Months (50 - 62cm),,,,,,,,18.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,st028141-c57120,,,,,,,,C57-120-22,,Size,3-6 Months (62-68cm),,,,,,,,18.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,st028141-c57120,,,,,,,,C57-120-25,,Size,6-12 Months (68-80cm),,,,,,,,18.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Cream 100% Cotton Tie Top Baby Hats 3 Pack (0-12mths),st028141-n13585,Cream 100% Cotton Tie Top Baby Hats 3 Pack (0-12mths),Next,Hats,,,TRUE,Active,N13-585-17,,Size,44cm (5lb),,,,,,,,18.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/N13585s.jpg,1,Cream 100% Cotton Tie Top Baby Hats 3 Pack (0-12mths) image 1,,,,,,,,,,,,,,,,,,
,st028141-n13585,,,,,,,,N13-585-18,,Size,First Size (50cm),,,,,,,,18.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/N13585s2.jpg,2,Cream 100% Cotton Tie Top Baby Hats 3 Pack (0-12mths) image 2,,,,,,,,,,,,,,,,,,
,st028141-n13585,,,,,,,,N13-585-19,,Size,Up To 3 Months (50 - 62cm),,,,,,,,18.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/N13585s3.jpg,3,Cream 100% Cotton Tie Top Baby Hats 3 Pack (0-12mths) image 3,,,,,,,,,,,,,,,,,,
