Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Multi Stripe Cotton Rich Socks 7 Pack,multi-stripe-cotton-rich-socks-7-pack,Multi Stripe Cotton Rich Socks 7 Pack,Next,Socks,,,TRUE,Active,167-701-32,,Size,0-2.5 Jnr,,,,,,,,46.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/167701s.jpg,1,Multi Stripe Cotton Rich Socks 7 Pack image 1,,,,,,,,,,,,,,,,,,
,multi-stripe-cotton-rich-socks-7-pack,,,,,,,,167-701-33,,Size,3-5.5 Jnr,,,,,,,,46.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/167701s1.jpg,2,Multi Stripe Cotton Rich Socks 7 Pack image 2,,,,,,,,,,,,,,,,,,
,multi-stripe-cotton-rich-socks-7-pack,,,,,,,,167-701-34,,Size,6-8.5 Jnr,,,,,,,,51.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/167701s2.jpg,3,Multi Stripe Cotton Rich Socks 7 Pack image 3,,,,,,,,,,,,,,,,,,
,multi-stripe-cotton-rich-socks-7-pack,,,,,,,,167-701-35,,Size,9-12 Jnr,,,,,,,,51.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/167701s3.jpg,4,Multi Stripe Cotton Rich Socks 7 Pack image 4,,,,,,,,,,,,,,,,,,
,multi-stripe-cotton-rich-socks-7-pack,,,,,,,,167-701-36,,Size,12.5-3.5,,,,,,,,51.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/167701s4.jpg,5,Multi Stripe Cotton Rich Socks 7 Pack image 5,,,,,,,,,,,,,,,,,,
,multi-stripe-cotton-rich-socks-7-pack,,,,,,,,167-701-68,,Size,4-6.5,,,,,,,,56.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/167701s5.jpg,6,Multi Stripe Cotton Rich Socks 7 Pack image 6,,,,,,,,,,,,,,,,,,
,multi-stripe-cotton-rich-socks-7-pack,,,,,,,,167-701-69,,Size,7-10,,,,,,,,61.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/167701s6.jpg,7,Multi Stripe Cotton Rich Socks 7 Pack image 7,,,,,,,,,,,,,,,,,,
,multi-stripe-cotton-rich-socks-7-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/167701s7.jpg,8,Multi Stripe Cotton Rich Socks 7 Pack image 8,,,,,,,,,,,,,,,,,,
Blue/Red London Bus Character Cotton Rich Socks 5 Pack,blue-red-london-bus-character-cotton-rich-socks-5-pack,Blue/Red London Bus Character Cotton Rich Socks 5 Pack,Next,Socks,,,TRUE,Active,B26-903-32,,Size,0-2.5 Jnr,,,,,,,,38.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B26903s.jpg,1,Blue/Red London Bus Character Cotton Rich Socks 5 Pack image 1,,,,,,,,,,,,,,,,,,
,blue-red-london-bus-character-cotton-rich-socks-5-pack,,,,,,,,B26-903-33,,Size,3-5.5 Jnr,,,,,,,,38.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B26903s1.jpg,2,Blue/Red London Bus Character Cotton Rich Socks 5 Pack image 2,,,,,,,,,,,,,,,,,,
,blue-red-london-bus-character-cotton-rich-socks-5-pack,,,,,,,,B26-903-34,,Size,6-8.5 Jnr,,,,,,,,43.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B26903s2.jpg,3,Blue/Red London Bus Character Cotton Rich Socks 5 Pack image 3,,,,,,,,,,,,,,,,,,
,blue-red-london-bus-character-cotton-rich-socks-5-pack,,,,,,,,B26-903-35,,Size,9-12 Jnr,,,,,,,,43.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B26903s3.jpg,4,Blue/Red London Bus Character Cotton Rich Socks 5 Pack image 4,,,,,,,,,,,,,,,,,,
,blue-red-london-bus-character-cotton-rich-socks-5-pack,,,,,,,,B26-903-36,,Size,12.5-3.5,,,,,,,,43.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B26903s4.jpg,5,Blue/Red London Bus Character Cotton Rich Socks 5 Pack image 5,,,,,,,,,,,,,,,,,,
,blue-red-london-bus-character-cotton-rich-socks-5-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B26903s5.jpg,6,Blue/Red London Bus Character Cotton Rich Socks 5 Pack image 6,,,,,,,,,,,,,,,,,,
,blue-red-london-bus-character-cotton-rich-socks-5-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B26903s6.jpg,7,Blue/Red London Bus Character Cotton Rich Socks 5 Pack image 7,,,,,,,,,,,,,,,,,,
