Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Boden Blue Relaxed Mid-weight T-Shirt,boden-blue-relaxed-mid-weight-t-shirt-sv047994,Boden Blue Relaxed Mid-weight T-Shirt,Boden,T-shirt new new,,,TRUE,Active,H05-497-38,,Size,2-3 Years (92-98cm),,,,,,,,67.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H05497s.jpg,1,Boden Blue Relaxed Mid-weight T-Shirt image 1,,,,,,,,,,,,,,,,,,
,boden-blue-relaxed-mid-weight-t-shirt-sv047994,,,,,,,,H05-497-40,,Size,3-4 Years (98-104cm),,,,,,,,67.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H05497s1.jpg,2,Boden Blue Relaxed Mid-weight T-Shirt image 2,,,,,,,,,,,,,,,,,,
,boden-blue-relaxed-mid-weight-t-shirt-sv047994,,,,,,,,H05-497-41,,Size,4-5 Years (104-110cm),,,,,,,,67.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H05497s2.jpg,3,Boden Blue Relaxed Mid-weight T-Shirt image 3,,,,,,,,,,,,,,,,,,
,boden-blue-relaxed-mid-weight-t-shirt-sv047994,,,,,,,,H05-497-42,,Size,5-6 Years (110-116cm),,,,,,,,78.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H05497s3.jpg,4,Boden Blue Relaxed Mid-weight T-Shirt image 4,,,,,,,,,,,,,,,,,,
,boden-blue-relaxed-mid-weight-t-shirt-sv047994,,,,,,,,H05-497-44,,Size,6-7 Years (116-122cm),,,,,,,,78.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H05497s4.jpg,5,Boden Blue Relaxed Mid-weight T-Shirt image 5,,,,,,,,,,,,,,,,,,
,boden-blue-relaxed-mid-weight-t-shirt-sv047994,,,,,,,,H05-497-45,,Size,7 - 8 Years (122 - 128cm),,,,,,,,78.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H05497s5.jpg,6,Boden Blue Relaxed Mid-weight T-Shirt image 6,,,,,,,,,,,,,,,,,,
,boden-blue-relaxed-mid-weight-t-shirt-sv047994,,,,,,,,H05-497-46,,Size,8-9 Years (128-134cm),,,,,,,,78.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,boden-blue-relaxed-mid-weight-t-shirt-sv047994,,,,,,,,H05-497-47,,Size,9-10 Years (134-140cm),,,,,,,,78.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,boden-blue-relaxed-mid-weight-t-shirt-sv047994,,,,,,,,H05-497-71,,Size,10-11 Years (140-146cm),,,,,,,,78.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,boden-blue-relaxed-mid-weight-t-shirt-sv047994,,,,,,,,H05-497-49,,Size,11-12 Years (146-152cm),,,,,,,,78.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
