Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Teal Blue Short Sleeve Varsity Shorts Set (3mths-7yrs),teal-blue-short-sleeve-varsity-shorts-set-3mths-7yrs-su769280,Teal Blue Short Sleeve Varsity Shorts Set (3mths-7yrs),Next,T-shirt new,,,TRUE,Active,H56-289-22,,Size,3-6 Months (62-68cm),,,,,,,,76.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H56289s.jpg,1,Teal Blue Short Sleeve Varsity Shorts Set (3mths-7yrs) image 1,,,,,,,,,,,,,,,,,,
,teal-blue-short-sleeve-varsity-shorts-set-3mths-7yrs-su769280,,,,,,,,H56-289-24,,Size,6-9 Months (68-74cm),,,,,,,,76.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H56289s1.jpg,2,Teal Blue Short Sleeve Varsity Shorts Set (3mths-7yrs) image 2,,,,,,,,,,,,,,,,,,
,teal-blue-short-sleeve-varsity-shorts-set-3mths-7yrs-su769280,,,,,,,,H56-289-27,,Size,9-12 Months (74-80cm),,,,,,,,76.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H56289s2.jpg,3,Teal Blue Short Sleeve Varsity Shorts Set (3mths-7yrs) image 3,,,,,,,,,,,,,,,,,,
,teal-blue-short-sleeve-varsity-shorts-set-3mths-7yrs-su769280,,,,,,,,H56-289-28,,Size,12-18 Months (80-86cm),,,,,,,,76.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H56289s3.jpg,4,Teal Blue Short Sleeve Varsity Shorts Set (3mths-7yrs) image 4,,,,,,,,,,,,,,,,,,
,teal-blue-short-sleeve-varsity-shorts-set-3mths-7yrs-su769280,,,,,,,,H56-289-30,,Size,1.5-2 Years (86-92cm),,,,,,,,86.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H56289s4.jpg,5,Teal Blue Short Sleeve Varsity Shorts Set (3mths-7yrs) image 5,,,,,,,,,,,,,,,,,,
,teal-blue-short-sleeve-varsity-shorts-set-3mths-7yrs-su769280,,,,,,,,H56-289-38,,Size,2-3 Years (92-98cm),,,,,,,,86.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H56289s5.jpg,6,Teal Blue Short Sleeve Varsity Shorts Set (3mths-7yrs) image 6,,,,,,,,,,,,,,,,,,
,teal-blue-short-sleeve-varsity-shorts-set-3mths-7yrs-su769280,,,,,,,,H56-289-40,,Size,3-4 Years (98-104cm),,,,,,,,86.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H56289s6.jpg,7,Teal Blue Short Sleeve Varsity Shorts Set (3mths-7yrs) image 7,,,,,,,,,,,,,,,,,,
,teal-blue-short-sleeve-varsity-shorts-set-3mths-7yrs-su769280,,,,,,,,H56-289-41,,Size,4-5 Years (104-110cm),,,,,,,,86.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H56289s7.jpg,8,Teal Blue Short Sleeve Varsity Shorts Set (3mths-7yrs) image 8,,,,,,,,,,,,,,,,,,
,teal-blue-short-sleeve-varsity-shorts-set-3mths-7yrs-su769280,,,,,,,,H56-289-42,,Size,5-6 Years (110-116cm),,,,,,,,86.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H56289s8.jpg,9,Teal Blue Short Sleeve Varsity Shorts Set (3mths-7yrs) image 9,,,,,,,,,,,,,,,,,,
,teal-blue-short-sleeve-varsity-shorts-set-3mths-7yrs-su769280,,,,,,,,H56-289-43,,Size,6-7 Years (116-122cm),,,,,,,,97.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H56289s9.jpg,10,Teal Blue Short Sleeve Varsity Shorts Set (3mths-7yrs) image 10,,,,,,,,,,,,,,,,,,
