Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Vanilla Underground Blue Peter Rabbit Short Sleeved T-Shirt,vanilla-underground-blue-peter-rabbit-short-sleeved-t-shirt,Vanilla Underground Blue Peter Rabbit Short Sleeved T-Shirt,Vanilla Underground,T-shirts fkn new,,,TRUE,Active,G28-323-28,,Size,12-18 Months (80-86cm),,,,,,,,102.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G28323s.jpg,1,Vanilla Underground Blue Peter Rabbit Short Sleeved T-Shirt image 1,,,,,,,,,,,,,,,,,,
,vanilla-underground-blue-peter-rabbit-short-sleeved-t-shirt,,,,,,,,G28-323-29,,Size,1.5-2 Years (86-92cm),,,,,,,,102.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G28323s1.jpg,2,Vanilla Underground Blue Peter Rabbit Short Sleeved T-Shirt image 2,,,,,,,,,,,,,,,,,,
,vanilla-underground-blue-peter-rabbit-short-sleeved-t-shirt,,,,,,,,G28-323-38,,Size,2-3 Years (92-98cm),,,,,,,,102.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G28323s2.jpg,3,Vanilla Underground Blue Peter Rabbit Short Sleeved T-Shirt image 3,,,,,,,,,,,,,,,,,,
,vanilla-underground-blue-peter-rabbit-short-sleeved-t-shirt,,,,,,,,G28-323-40,,Size,3-4 Years (98-104cm),,,,,,,,102.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G28323s3.jpg,4,Vanilla Underground Blue Peter Rabbit Short Sleeved T-Shirt image 4,,,,,,,,,,,,,,,,,,
,vanilla-underground-blue-peter-rabbit-short-sleeved-t-shirt,,,,,,,,G28-323-41,,Size,4-5 Years (104-110cm),,,,,,,,102.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G28323s4.jpg,5,Vanilla Underground Blue Peter Rabbit Short Sleeved T-Shirt image 5,,,,,,,,,,,,,,,,,,
,vanilla-underground-blue-peter-rabbit-short-sleeved-t-shirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G28323s5.jpg,6,Vanilla Underground Blue Peter Rabbit Short Sleeved T-Shirt image 6,,,,,,,,,,,,,,,,,,
,vanilla-underground-blue-peter-rabbit-short-sleeved-t-shirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G28323s6.jpg,7,Vanilla Underground Blue Peter Rabbit Short Sleeved T-Shirt image 7,,,,,,,,,,,,,,,,,,
Purple 100% Cotton Daisy Short Sleeve T-Shirt (3mths-7yrs),purple-100-cotton-daisy-short-sleeve-t-shirt-3mths-7yrs,Purple 100% Cotton Daisy Short Sleeve T-Shirt (3mths-7yrs),Next,T-shirts fkn new,,,TRUE,Active,AD8-243-22,,Size,3-6 Months (62-68cm),,,,,,,,14.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AD8243s.jpg,1,Purple 100% Cotton Daisy Short Sleeve T-Shirt (3mths-7yrs) image 1,,,,,,,,,,,,,,,,,,
,purple-100-cotton-daisy-short-sleeve-t-shirt-3mths-7yrs,,,,,,,,AD8-243-24,,Size,6-9 Months (68-74cm),,,,,,,,14.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AD8243s1.jpg,2,Purple 100% Cotton Daisy Short Sleeve T-Shirt (3mths-7yrs) image 2,,,,,,,,,,,,,,,,,,
,purple-100-cotton-daisy-short-sleeve-t-shirt-3mths-7yrs,,,,,,,,AD8-243-27,,Size,9-12 Months (74-80cm),,,,,,,,14.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AD8243s2.jpg,3,Purple 100% Cotton Daisy Short Sleeve T-Shirt (3mths-7yrs) image 3,,,,,,,,,,,,,,,,,,
,purple-100-cotton-daisy-short-sleeve-t-shirt-3mths-7yrs,,,,,,,,AD8-243-28,,Size,12-18 Months (80-86cm),,,,,,,,14.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AD8243s3.jpg,4,Purple 100% Cotton Daisy Short Sleeve T-Shirt (3mths-7yrs) image 4,,,,,,,,,,,,,,,,,,
,purple-100-cotton-daisy-short-sleeve-t-shirt-3mths-7yrs,,,,,,,,AD8-243-30,,Size,1.5-2 Years (86-92cm),,,,,,,,17.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AD8243s4.jpg,5,Purple 100% Cotton Daisy Short Sleeve T-Shirt (3mths-7yrs) image 5,,,,,,,,,,,,,,,,,,
