Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
The Little Tailor Natural The Little Tailor Fawn Pointelle Natural Blanket,the-little-tailor-natural-the-little-tailor-fawn-pointelle-natural-blanket,The Little Tailor Natural The Little Tailor Fawn Pointelle Natural Blanket,The Little Tailor,blankets,,,TRUE,Active,U35-993-01,,Size,ONE,,,,,,,,204.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/U35993s.jpg,1,The Little Tailor Natural The Little Tailor Fawn Pointelle Natural Blanket image 1,,,,,,,,,,,,,,,,,,
Benetton Cream Bunny Logo Blanket,benetton-cream-bunny-logo-blanket,Benetton Cream Bunny Logo Blanket,Benetton,blankets,,,TRUE,Active,V46-906-01,,Size,One,,,,,,,,210.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/V46906s.jpg,1,Benetton Cream Bunny Logo Blanket image 1,,,,,,,,,,,,,,,,,,
,benetton-cream-bunny-logo-blanket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/V46906s2.jpg,2,Benetton Cream Bunny Logo Blanket image 2,,,,,,,,,,,,,,,,,,
,benetton-cream-bunny-logo-blanket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/V46906s3.jpg,3,Benetton Cream Bunny Logo Blanket image 3,,,,,,,,,,,,,,,,,,
The Little Tailor Pink Plush Lined Knitted Blanket,the-little-tailor-pink-plush-lined-knitted-blanket,The Little Tailor Pink Plush Lined Knitted Blanket,The Little Tailor,blankets,,,TRUE,Active,G04-309-01,,Size,One,,,,,,,,262.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G04309s.jpg,1,The Little Tailor Pink Plush Lined Knitted Blanket image 1,,,,,,,,,,,,,,,,,,
,the-little-tailor-pink-plush-lined-knitted-blanket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G04309s2.jpg,2,The Little Tailor Pink Plush Lined Knitted Blanket image 2,,,,,,,,,,,,,,,,,,
,the-little-tailor-pink-plush-lined-knitted-blanket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G04309s3.jpg,3,The Little Tailor Pink Plush Lined Knitted Blanket image 3,,,,,,,,,,,,,,,,,,
,the-little-tailor-pink-plush-lined-knitted-blanket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G04309s4.jpg,4,The Little Tailor Pink Plush Lined Knitted Blanket image 4,,,,,,,,,,,,,,,,,,
2 Pack Sage Green Cotton Baby Cellular Blankets,2-pack-sage-green-cotton-baby-cellular-blankets,2 Pack Sage Green Cotton Baby Cellular Blankets,Next,blankets,,,TRUE,Active,H90-882-05,,Size,75x95,,,,,,,,83.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H90882s.jpg,1,2 Pack Sage Green Cotton Baby Cellular Blankets image 1,,,,,,,,,,,,,,,,,,
,2-pack-sage-green-cotton-baby-cellular-blankets,,,,,,,,H90-882-76,,Size,100x150,,,,,,,,120.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H90882s2.jpg,2,2 Pack Sage Green Cotton Baby Cellular Blankets image 2,,,,,,,,,,,,,,,,,,
