Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Blue Baby Micro Fleece Two Way Zip Sleepsuits 2 Pack,blue-baby-micro-fleece-two-way-zip-sleepsuits-2-pack-su666036,Blue Baby Micro Fleece Two Way Zip Sleepsuits 2 Pack,Next,bodysuits new,,,TRUE,Active,AW3-064-18,,Size,50cm (First Size),,,,,,,,71.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AW3064s.jpg,1,Blue Baby Micro Fleece Two Way Zip Sleepsuits 2 Pack image 1,,,,,,,,,,,,,,,,,,
,blue-baby-micro-fleece-two-way-zip-sleepsuits-2-pack-su666036,,,,,,,,AW3-064-19,,Size,Up to 1 Month (56cm),,,,,,,,71.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AW3064s1.jpg,2,Blue Baby Micro Fleece Two Way Zip Sleepsuits 2 Pack image 2,,,,,,,,,,,,,,,,,,
,blue-baby-micro-fleece-two-way-zip-sleepsuits-2-pack-su666036,,,,,,,,AW3-064-20,,Size,Up to 3 Months (62cm),,,,,,,,71.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AW3064s2.jpg,3,Blue Baby Micro Fleece Two Way Zip Sleepsuits 2 Pack image 3,,,,,,,,,,,,,,,,,,
,blue-baby-micro-fleece-two-way-zip-sleepsuits-2-pack-su666036,,,,,,,,AW3-064-22,,Size,3-6 Months (62-68cm),,,,,,,,71.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AW3064s3.jpg,4,Blue Baby Micro Fleece Two Way Zip Sleepsuits 2 Pack image 4,,,,,,,,,,,,,,,,,,
,blue-baby-micro-fleece-two-way-zip-sleepsuits-2-pack-su666036,,,,,,,,AW3-064-24,,Size,6-9 Months (68-74cm),,,,,,,,71.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AW3064s4.jpg,5,Blue Baby Micro Fleece Two Way Zip Sleepsuits 2 Pack image 5,,,,,,,,,,,,,,,,,,
,blue-baby-micro-fleece-two-way-zip-sleepsuits-2-pack-su666036,,,,,,,,AW3-064-27,,Size,9-12 Months (74-80cm),,,,,,,,71.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AW3064s5.jpg,6,Blue Baby Micro Fleece Two Way Zip Sleepsuits 2 Pack image 6,,,,,,,,,,,,,,,,,,
,blue-baby-micro-fleece-two-way-zip-sleepsuits-2-pack-su666036,,,,,,,,AW3-064-28,,Size,12 - 18 Months (80 - 86cm),,,,,,,,78.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AW3064s6.jpg,7,Blue Baby Micro Fleece Two Way Zip Sleepsuits 2 Pack image 7,,,,,,,,,,,,,,,,,,
,blue-baby-micro-fleece-two-way-zip-sleepsuits-2-pack-su666036,,,,,,,,AW3-064-30,,Size,1.5 - 2 Years (86 - 92cm),,,,,,,,78.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AW3064s7.jpg,8,Blue Baby Micro Fleece Two Way Zip Sleepsuits 2 Pack image 8,,,,,,,,,,,,,,,,,,
,blue-baby-micro-fleece-two-way-zip-sleepsuits-2-pack-su666036,,,,,,,,AW3-064-38,,Size,2 - 3 Years (92 - 98cm),,,,,,,,78.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AW3064s8.jpg,9,Blue Baby Micro Fleece Two Way Zip Sleepsuits 2 Pack image 9,,,,,,,,,,,,,,,,,,
,blue-baby-micro-fleece-two-way-zip-sleepsuits-2-pack-su666036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AW3064s9.jpg,10,Blue Baby Micro Fleece Two Way Zip Sleepsuits 2 Pack image 10,,,,,,,,,,,,,,,,,,
