Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Pink Fairy Flower Corsage Dress (3mths-8yrs),pink-fairy-flower-corsage-dress-3mths-8yrs,Pink Fairy Flower Corsage Dress (3mths-8yrs),Next,dresses,,,TRUE,Active,F66-646-22,,Size,3-6 Months (62-68cm),,,,,,,,81.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F66646s.jpg,1,Pink Fairy Flower Corsage Dress (3mths-8yrs) image 1,,,,,,,,,,,,,,,,,,
,pink-fairy-flower-corsage-dress-3mths-8yrs,,,,,,,,F66-646-24,,Size,6-9 Months (68-74cm),,,,,,,,81.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F66646s1.jpg,2,Pink Fairy Flower Corsage Dress (3mths-8yrs) image 2,,,,,,,,,,,,,,,,,,
,pink-fairy-flower-corsage-dress-3mths-8yrs,,,,,,,,F66-646-27,,Size,9-12 Months (74-80cm),,,,,,,,81.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F66646s2.jpg,3,Pink Fairy Flower Corsage Dress (3mths-8yrs) image 3,,,,,,,,,,,,,,,,,,
,pink-fairy-flower-corsage-dress-3mths-8yrs,,,,,,,,F66-646-28,,Size,12-18 Months (80-86cm),,,,,,,,81.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F66646s3.jpg,4,Pink Fairy Flower Corsage Dress (3mths-8yrs) image 4,,,,,,,,,,,,,,,,,,
,pink-fairy-flower-corsage-dress-3mths-8yrs,,,,,,,,F66-646-30,,Size,1.5-2 Years (86-92cm),,,,,,,,88.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F66646s4.jpg,5,Pink Fairy Flower Corsage Dress (3mths-8yrs) image 5,,,,,,,,,,,,,,,,,,
,pink-fairy-flower-corsage-dress-3mths-8yrs,,,,,,,,F66-646-38,,Size,2-3 Years (92-98cm),,,,,,,,88.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F66646s5.jpg,6,Pink Fairy Flower Corsage Dress (3mths-8yrs) image 6,,,,,,,,,,,,,,,,,,
,pink-fairy-flower-corsage-dress-3mths-8yrs,,,,,,,,F66-646-40,,Size,3-4 Years (98-104cm),,,,,,,,88.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F66646s6.jpg,7,Pink Fairy Flower Corsage Dress (3mths-8yrs) image 7,,,,,,,,,,,,,,,,,,
,pink-fairy-flower-corsage-dress-3mths-8yrs,,,,,,,,F66-646-41,,Size,4-5 Years (104-110cm),,,,,,,,88.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,pink-fairy-flower-corsage-dress-3mths-8yrs,,,,,,,,F66-646-42,,Size,5-6 Years (110-116cm),,,,,,,,88.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,pink-fairy-flower-corsage-dress-3mths-8yrs,,,,,,,,F66-646-43,,Size,6-7 Years (116-122cm),,,,,,,,95.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
