Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Brown/Orange Mini Snuggle Pyjamas 3 Pack (9mths-10yrs),brown-orange-mini-snuggle-pyjamas-3-pack-9mths-10yrs,Brown/Orange Mini Snuggle Pyjamas 3 Pack (9mths-10yrs),Next,pyjamas,,,TRUE,Active,F19-900-12,,Size,9 - 12 Months (74 - 80cm),,,,,,,,92.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F19900s.jpg,1,Brown/Orange Mini Snuggle Pyjamas 3 Pack (9mths-10yrs) image 1,,,,,,,,,,,,,,,,,,
,brown-orange-mini-snuggle-pyjamas-3-pack-9mths-10yrs,,,,,,,,F19-900-13,,Size,12 - 18 Months (80 - 86cm),,,,,,,,92.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F19900s1.jpg,2,Brown/Orange Mini Snuggle Pyjamas 3 Pack (9mths-10yrs) image 2,,,,,,,,,,,,,,,,,,
,brown-orange-mini-snuggle-pyjamas-3-pack-9mths-10yrs,,,,,,,,F19-900-14,,Size,1.5 - 2 Years (86 - 92cm),,,,,,,,99.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F19900s2.jpg,3,Brown/Orange Mini Snuggle Pyjamas 3 Pack (9mths-10yrs) image 3,,,,,,,,,,,,,,,,,,
,brown-orange-mini-snuggle-pyjamas-3-pack-9mths-10yrs,,,,,,,,F19-900-15,,Size,2 - 3 Years (92 - 98cm),,,,,,,,99.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F19900s3.jpg,4,Brown/Orange Mini Snuggle Pyjamas 3 Pack (9mths-10yrs) image 4,,,,,,,,,,,,,,,,,,
,brown-orange-mini-snuggle-pyjamas-3-pack-9mths-10yrs,,,,,,,,F19-900-16,,Size,3 - 4 Years (98 - 104cm),,,,,,,,106.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F19900s4.jpg,5,Brown/Orange Mini Snuggle Pyjamas 3 Pack (9mths-10yrs) image 5,,,,,,,,,,,,,,,,,,
,brown-orange-mini-snuggle-pyjamas-3-pack-9mths-10yrs,,,,,,,,F19-900-17,,Size,4 - 5 Years (104 - 110cm),,,,,,,,106.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F19900s5.jpg,6,Brown/Orange Mini Snuggle Pyjamas 3 Pack (9mths-10yrs) image 6,,,,,,,,,,,,,,,,,,
,brown-orange-mini-snuggle-pyjamas-3-pack-9mths-10yrs,,,,,,,,F19-900-18,,Size,5 - 6 Years (110 - 116cm),,,,,,,,106.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F19900s6.jpg,7,Brown/Orange Mini Snuggle Pyjamas 3 Pack (9mths-10yrs) image 7,,,,,,,,,,,,,,,,,,
,brown-orange-mini-snuggle-pyjamas-3-pack-9mths-10yrs,,,,,,,,F19-900-19,,Size,6 - 7 Years (116 - 122cm),,,,,,,,114.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,brown-orange-mini-snuggle-pyjamas-3-pack-9mths-10yrs,,,,,,,,F19-900-20,,Size,7 - 8 Years (122 - 128cm),,,,,,,,114.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Ecru/Yellow/Blue/Green Farmyard Single Button Through Short Pyjamas (9mths-8yrs),ecru-yellow-blue-green-farmyard-single-button-through-short-pyjamas-9mths-8yrs,Ecru/Yellow/Blue/Green Farmyard Single Button Through Short Pyjamas (9mths-8yrs),Next,pyjamas,,,TRUE,Active,Y05-738-12,,Size,9 - 12 Months (74 - 80cm),,,,,,,,71.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/Y05738s.jpg,1,Ecru/Yellow/Blue/Green Farmyard Single Button Through Short Pyjamas (9mths-8yrs) image 1,,,,,,,,,,,,,,,,,,
,ecru-yellow-blue-green-farmyard-single-button-through-short-pyjamas-9mths-8yrs,,,,,,,,Y05-738-13,,Size,12 - 18 Months (80 - 86cm),,,,,,,,71.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/Y05738s1.jpg,2,Ecru/Yellow/Blue/Green Farmyard Single Button Through Short Pyjamas (9mths-8yrs) image 2,,,,,,,,,,,,,,,,,,
,ecru-yellow-blue-green-farmyard-single-button-through-short-pyjamas-9mths-8yrs,,,,,,,,Y05-738-14,,Size,1.5 - 2 Years (86 - 92cm),,,,,,,,76.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/Y05738s2.jpg,3,Ecru/Yellow/Blue/Green Farmyard Single Button Through Short Pyjamas (9mths-8yrs) image 3,,,,,,,,,,,,,,,,,,
