Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Baker by Ted Baker Knitted Top and Joggers Set,baker-by-ted-baker-knitted-top-and-joggers-set,Baker by Ted Baker Knitted Top and Joggers Set,Baker by Ted Baker,sweattopjoggersets,,,TRUE,Active,F68-569-17,,Size,Newborn,,,,,,,,125.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F68569s.jpg,1,Baker by Ted Baker Knitted Top and Joggers Set image 1,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-knitted-top-and-joggers-set,,,,,,,,F68-569-19,,Size,Up To 3 Months (50 - 62cm),,,,,,,,125.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F68569s1.jpg,2,Baker by Ted Baker Knitted Top and Joggers Set image 2,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-knitted-top-and-joggers-set,,,,,,,,F68-569-22,,Size,3-6 Months (62-68cm),,,,,,,,125.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F68569s2.jpg,3,Baker by Ted Baker Knitted Top and Joggers Set image 3,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-knitted-top-and-joggers-set,,,,,,,,F68-569-24,,Size,6-9 Months (68-74cm),,,,,,,,125.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F68569s3.jpg,4,Baker by Ted Baker Knitted Top and Joggers Set image 4,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-knitted-top-and-joggers-set,,,,,,,,F68-569-27,,Size,9-12 Months (74-80cm),,,,,,,,125.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F68569s4.jpg,5,Baker by Ted Baker Knitted Top and Joggers Set image 5,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-knitted-top-and-joggers-set,,,,,,,,F68-569-28,,Size,12-18 Months (80-86cm),,,,,,,,137.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F68569s5.jpg,6,Baker by Ted Baker Knitted Top and Joggers Set image 6,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-knitted-top-and-joggers-set,,,,,,,,F68-569-30,,Size,1.5 - 2 Years (86 - 92cm),,,,,,,,137.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F68569s6.jpg,7,Baker by Ted Baker Knitted Top and Joggers Set image 7,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-knitted-top-and-joggers-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F68569s7.jpg,8,Baker by Ted Baker Knitted Top and Joggers Set image 8,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-knitted-top-and-joggers-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F68569s8.jpg,9,Baker by Ted Baker Knitted Top and Joggers Set image 9,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-knitted-top-and-joggers-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F68569s9.jpg,10,Baker by Ted Baker Knitted Top and Joggers Set image 10,,,,,,,,,,,,,,,,,,
