Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Baker by Ted Baker Oversized Graphic T-Shirt and Shorts Set,baker-by-ted-baker-oversized-graphic-t-shirt-and-shorts-set,Baker by Ted Baker Oversized Graphic T-Shirt and Shorts Set,Baker by Ted Baker,youngerboys,,,TRUE,Active,W86-952-14,,Size,12-18 Months (80-86cm),,,,,,,,197.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/W86952s.jpg,1,Baker by Ted Baker Oversized Graphic T-Shirt and Shorts Set image 1,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-oversized-graphic-t-shirt-and-shorts-set,,,,,,,,W86-952-02,,Size,1.5-2 Years (86-92cm),,,,,,,,197.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/W86952s1.jpg,2,Baker by Ted Baker Oversized Graphic T-Shirt and Shorts Set image 2,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-oversized-graphic-t-shirt-and-shorts-set,,,,,,,,W86-952-03,,Size,2-3 Years (92-98cm),,,,,,,,197.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/W86952s2.jpg,3,Baker by Ted Baker Oversized Graphic T-Shirt and Shorts Set image 3,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-oversized-graphic-t-shirt-and-shorts-set,,,,,,,,W86-952-04,,Size,3-4 Years (98-104cm),,,,,,,,197.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/W86952s3.jpg,4,Baker by Ted Baker Oversized Graphic T-Shirt and Shorts Set image 4,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-oversized-graphic-t-shirt-and-shorts-set,,,,,,,,W86-952-05,,Size,4-5 Years (104-110cm),,,,,,,,215.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/W86952s4.jpg,5,Baker by Ted Baker Oversized Graphic T-Shirt and Shorts Set image 5,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-oversized-graphic-t-shirt-and-shorts-set,,,,,,,,W86-952-06,,Size,6 Years (116cm),,,,,,,,215.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/W86952s5.jpg,6,Baker by Ted Baker Oversized Graphic T-Shirt and Shorts Set image 6,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-oversized-graphic-t-shirt-and-shorts-set,,,,,,,,W86-952-07,,Size,7 Years (122cm),,,,,,,,227.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/W86952s6.jpg,7,Baker by Ted Baker Oversized Graphic T-Shirt and Shorts Set image 7,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-oversized-graphic-t-shirt-and-shorts-set,,,,,,,,W86-952-08,,Size,8 Years (128cm),,,,,,,,227.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-oversized-graphic-t-shirt-and-shorts-set,,,,,,,,W86-952-09,,Size,9 Years (134cm),,,,,,,,227.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,baker-by-ted-baker-oversized-graphic-t-shirt-and-shorts-set,,,,,,,,W86-952-10,,Size,10 Years (140cm),,,,,,,,227.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
